class,value,class start,class stop,
1,13191,0.000000819564,0.005547160807,
2,13338,0.005547160807,0.011093502049,
3,13440,0.011093502049,0.016639843292,
4,13088,0.016639843292,0.022186184535,
5,12986,0.022186184535,0.027732525778,
6,12503,0.027732525778,0.033278867020,
7,12012,0.033278867020,0.038825208263,
8,11679,0.038825208263,0.044371549506,
9,11339,0.044371549506,0.049917890748,
10,10909,0.049917890748,0.055464231991,
11,10969,0.055464231991,0.061010573234,
12,10533,0.061010573234,0.066556914477,
13,10442,0.066556914477,0.072103255719,
14,10867,0.072103255719,0.077649596962,
15,11181,0.077649596962,0.083195938205,
16,11391,0.083195938205,0.088742279448,
17,12311,0.088742279448,0.094288620690,
18,11607,0.094288620690,0.099834961933,
19,11520,0.099834961933,0.105381303176,
20,11723,0.105381303176,0.110927644419,
21,11917,0.110927644419,0.116473985661,
22,11388,0.116473985661,0.122020326904,
23,10513,0.122020326904,0.127566668147,
24,10565,0.127566668147,0.133113009389,
25,10045,0.133113009389,0.138659350632,
26,9668,0.138659350632,0.144205691875,
27,9514,0.144205691875,0.149752033118,
28,9008,0.149752033118,0.155298374360,
29,8891,0.155298374360,0.160844715603,
30,8410,0.160844715603,0.166391056846,
31,8272,0.166391056846,0.171937398089,
32,8000,0.171937398089,0.177483739331,
33,8069,0.177483739331,0.183030080574,
34,7864,0.183030080574,0.188576421817,
35,7709,0.188576421817,0.194122763060,
36,7398,0.194122763060,0.199669104302,
37,7142,0.199669104302,0.205215445545,
38,7046,0.205215445545,0.210761786788,
39,6885,0.210761786788,0.216308128031,
40,6709,0.216308128031,0.221854469273,
41,6463,0.221854469273,0.227400810516,
42,6565,0.227400810516,0.232947151759,
43,6812,0.232947151759,0.238493493001,
44,6921,0.238493493001,0.244039834244,
45,6950,0.244039834244,0.249586175487,
46,6604,0.249586175487,0.255132516730,
47,6434,0.255132516730,0.260678857972,
48,6164,0.260678857972,0.266225199215,
49,6379,0.266225199215,0.271771540458,
50,6087,0.271771540458,0.277317881701,
51,5819,0.277317881701,0.282864222943,
52,5477,0.282864222943,0.288410564186,
53,4945,0.288410564186,0.293956905429,
54,4829,0.293956905429,0.299503246672,
55,4468,0.299503246672,0.305049587914,
56,4327,0.305049587914,0.310595929157,
57,4026,0.310595929157,0.316142270400,
58,3930,0.316142270400,0.321688611642,
59,3606,0.321688611642,0.327234952885,
60,3309,0.327234952885,0.332781294128,
61,3091,0.332781294128,0.338327635371,
62,2870,0.338327635371,0.343873976613,
63,2802,0.343873976613,0.349420317856,
64,2649,0.349420317856,0.354966659099,
