#sec,nsec,x,y,z,qx,qy,qz,qw
1583836591,182590976,-3.35559,8.2542,0.145701,0.0039575,0.00400042,-0.605941,0.79549
1583836591,282592512,-3.35429,8.25273,0.146137,0.0038794,0.00400651,-0.605976,0.795464
1583836591,382579456,-3.34605,8.24457,0.138331,0.00384963,0.00371254,-0.605999,0.795447
1583836591,482568704,-3.3515,8.24461,0.141933,0.0038003,0.00391695,-0.60587,0.795545
1583836591,582553088,-3.34477,8.24422,0.141572,0.00359196,0.00395955,-0.606074,0.79539
1583836591,682529024,-3.35222,8.24647,0.137599,0.00368695,0.00388267,-0.605986,0.795458
1583836591,782496512,-3.34673,8.25211,0.138721,0.00382499,0.00378034,-0.606078,0.795387
1583836591,882515968,-3.34567,8.25196,0.143019,0.00402138,0.00386296,-0.606038,0.795416
1583836591,982548736,-3.34242,8.25369,0.137669,0.00362268,0.00384637,-0.606101,0.79537
1583836592,82589184,-3.35155,8.24784,0.142737,0.00392078,0.00383799,-0.606045,0.795412
1583836592,182643968,-3.35388,8.24468,0.143913,0.00356413,0.00398321,-0.60597,0.79547
1583836592,282686208,-3.35577,8.2509,0.14003,0.00365065,0.00395276,-0.606032,0.795422
1583836592,382729728,-3.3548,8.24141,0.137036,0.00398099,0.00362485,-0.605966,0.795473
1583836592,482761216,-3.35806,8.23996,0.135582,0.00383475,0.00365816,-0.605873,0.795543
1583836592,582788608,-3.3567,8.24884,0.136381,0.00387673,0.00373486,-0.605869,0.795546
1583836592,682815488,-3.35484,8.25408,0.143034,0.00343311,0.00415474,-0.605932,0.795498
1583836592,782854144,-3.35248,8.23898,0.140482,0.00361698,0.00396957,-0.605916,0.795511
1583836592,882856960,-3.35225,8.25101,0.142277,0.00390287,0.00393962,-0.605967,0.795471
1583836592,982856704,-3.3548,8.24106,0.138793,0.00374242,0.00368415,-0.605862,0.795553
1583836593,82854400,-3.35266,8.23682,0.138739,0.00399124,0.00365113,-0.605883,0.795535
1583836593,182838528,-3.3532,8.23849,0.140965,0.00406383,0.00368173,-0.60593,0.795499
1583836593,282818816,-3.34703,8.2497,0.144029,0.00379378,0.00394649,-0.606064,0.795397
1583836593,382798592,-3.35153,8.24467,0.139541,0.00393615,0.003846,-0.605978,0.795462
1583836593,482787840,-3.35794,8.24751,0.145368,0.00394248,0.00391644,-0.605946,0.795486
1583836593,582781440,-3.3555,8.24554,0.143798,0.00398372,0.00381624,-0.605813,0.795588
1583836593,682773248,-3.35,8.24849,0.136974,0.00370609,0.00378404,-0.605956,0.795481
1583836593,782771200,-3.34844,8.24964,0.13491,0.00367475,0.00375827,-0.605941,0.795492
1583836593,882770432,-3.34836,8.25138,0.137819,0.0038994,0.00373813,-0.606003,0.795444
1583836593,982784512,-3.35298,8.24754,0.139729,0.00402194,0.00383493,-0.60589,0.795529
1583836594,82806528,-3.35508,8.23658,0.137284,0.00367634,0.00385256,-0.60587,0.795546
1583836594,182827264,-3.35375,8.24504,0.136873,0.00395864,0.00366359,-0.605815,0.795587
1583836594,282835456,-3.34661,8.24344,0.137418,0.00390184,0.00382214,-0.605942,0.79549
1583836594,382844672,-3.35204,8.24099,0.139358,0.00382659,0.00375526,-0.606008,0.79544
1583836594,482850304,-3.34934,8.24542,0.133715,0.00406986,0.00352671,-0.605937,0.795494
1583836594,582853120,-3.34568,8.24394,0.137069,0.00382486,0.00361161,-0.606117,0.795358
1583836594,682844672,-3.35383,8.24021,0.141753,0.00401583,0.00383811,-0.606018,0.795432
1583836594,782821376,-3.35811,8.24034,0.145048,0.0037949,0.0039882,-0.605843,0.795566
1583836594,882795264,-3.35316,8.24132,0.141716,0.00391174,0.00384241,-0.605892,0.795528
1583836594,982766080,-3.35876,8.24673,0.142857,0.00363556,0.00393157,-0.605982,0.79546
1583836595,82743040,-3.35481,8.24988,0.143126,0.00379726,0.0039986,-0.605932,0.795497
1583836595,182712576,-3.35668,8.24796,0.13779,0.00377525,0.00383164,-0.605898,0.795524
1583836595,282676480,-3.34863,8.24105,0.136036,0.00389578,0.00367133,-0.606074,0.795391
1583836595,382653696,-3.34943,8.2499,0.141185,0.00410734,0.00376516,-0.605876,0.79554
1583836595,482649600,-3.35127,8.24803,0.140594,0.00381208,0.00388001,-0.605858,0.795554
1583836595,582657280,-3.35237,8.24543,0.138725,0.00352079,0.00384996,-0.605881,0.795538
1583836595,682668032,-3.35291,8.24695,0.139799,0.00348435,0.0039505,-0.605974,0.795467
1583836595,782681856,-3.35019,8.23812,0.1353,0.00370841,0.00372352,-0.605989,0.795456
